Date Time,T (degC),rh (%)
01.01.2015 20:10:00,2.65,88.3
01.01.2015 20:20:00,2.74,87.4
01.01.2015 20:30:00,2.6,87.7
01.01.2015 20:40:00,2.12,90.1
01.01.2015 20:50:00,1.97,91.6
01.01.2015 21:00:00,1.85,92.1
01.01.2015 21:10:00,1.85,92.3
01.01.2015 21:20:00,1.86,92.2
01.01.2015 21:30:00,1.78,91.8
01.01.2015 21:40:00,1.77,92
01.01.2015 21:50:00,1.71,91.9
01.01.2015 22:00:00,1.76,92.1
01.01.2015 22:10:00,1.75,91.9
01.01.2015 22:20:00,1.37,92
01.01.2015 22:30:00,1.47,92.8
01.01.2015 22:40:00,1.63,91.6
01.01.2015 22:50:00,1.47,91.7
01.01.2015 23:00:00,1.55,92
01.01.2015 23:10:00,1.58,91.5
01.01.2015 23:20:00,1.63,91.3
01.01.2015 23:30:00,1.77,90.4
01.01.2015 23:40:00,1.82,90.1
01.01.2015 23:50:00,1.81,89.9
02.01.2015 00:00:00,1.77,89.8
02.01.2015 00:10:00,1.54,90.4
02.01.2015 00:20:00,1.45,90.8
02.01.2015 00:30:00,1.45,91.2
02.01.2015 00:40:00,1.62,90.9
02.01.2015 00:50:00,1.72,89.6
02.01.2015 01:00:00,1.7,89.8
02.01.2015 01:10:00,1.57,90
02.01.2015 01:20:00,1.64,90
02.01.2015 01:30:00,1.57,89.7
02.01.2015 01:40:00,1.53,90.1
02.01.2015 01:50:00,1.68,89.5
02.01.2015 02:00:00,1.84,88.9
02.01.2015 02:10:00,2.02,86.8
02.01.2015 02:20:00,1.95,86.7
02.01.2015 02:30:00,2.52,81.4
02.01.2015 02:40:00,2.8,78.7
02.01.2015 02:50:00,2.88,77.9
02.01.2015 03:00:00,2.41,81.6
02.01.2015 03:10:00,2.1,83.5
02.01.2015 03:20:00,2.13,83.7
02.01.2015 03:30:00,2.06,83.7
02.01.2015 03:40:00,2.28,81.1
02.01.2015 03:50:00,3.1,73.7
02.01.2015 04:00:00,3.07,73.5
02.01.2015 04:10:00,2.91,74.8
02.01.2015 04:20:00,2.29,79.3
02.01.2015 04:30:00,2.27,78.4
02.01.2015 04:40:00,2.02,80.1
02.01.2015 04:50:00,2.38,76.6
02.01.2015 05:00:00,2.4,76.9
02.01.2015 05:10:00,2.16,78.5
02.01.2015 05:20:00,2.23,78
02.01.2015 05:30:00,2.08,78.9
02.01.2015 05:40:00,2,79.5
02.01.2015 05:50:00,1.94,79.9
02.01.2015 06:00:00,2.07,78.9
02.01.2015 06:10:00,2.72,74.4
02.01.2015 06:20:00,3.83,67.36
02.01.2015 06:30:00,4.15,65.69
02.01.2015 06:40:00,4.26,64.97
02.01.2015 06:50:00,4.37,64.4
02.01.2015 07:00:00,4.37,64.49
02.01.2015 07:10:00,4.4,64.14
02.01.2015 07:20:00,4.44,64.05
02.01.2015 07:30:00,4.36,65.09
02.01.2015 07:40:00,4.35,65.01
02.01.2015 07:50:00,4.58,63.93
02.01.2015 08:00:00,4.47,67.05
02.01.2015 08:10:00,4.19,70.9
02.01.2015 08:20:00,4.17,72.6
02.01.2015 08:30:00,4.05,75.7
02.01.2015 08:40:00,4.04,79.4
02.01.2015 08:50:00,4.12,80
02.01.2015 09:00:00,3.99,81.2
02.01.2015 09:10:00,3.9,81.6
02.01.2015 09:20:00,3.76,83.5
02.01.2015 09:30:00,3.69,84.3
02.01.2015 09:40:00,3.74,84.1
02.01.2015 09:50:00,3.73,85.1
02.01.2015 10:00:00,3.78,85.9
02.01.2015 10:10:00,3.91,85.7
02.01.2015 10:20:00,4.01,85.3
02.01.2015 10:30:00,4.16,84
02.01.2015 10:40:00,4.17,83.4
02.01.2015 10:50:00,4.04,83.2
02.01.2015 11:00:00,3.89,83
02.01.2015 11:10:00,3.76,82.6
02.01.2015 11:20:00,3.74,82.1
02.01.2015 11:30:00,3.8,82
02.01.2015 11:40:00,3.92,81.3
02.01.2015 11:50:00,3.99,81.2
02.01.2015 12:00:00,4.02,81.2
02.01.2015 12:10:00,4.17,81.1
02.01.2015 12:20:00,4.22,81.1
02.01.2015 12:30:00,4.29,81.7
02.01.2015 12:40:00,4.33,82
02.01.2015 12:50:00,4.29,82.8
02.01.2015 13:00:00,4.49,83.1
02.01.2015 13:10:00,4.86,82.7
02.01.2015 13:20:00,4.98,82.1
02.01.2015 13:30:00,4.87,82
02.01.2015 13:40:00,4.82,82.1
02.01.2015 13:50:00,4.8,81.8
02.01.2015 14:00:00,4.8,81.3
02.01.2015 14:10:00,4.79,80.8
02.01.2015 14:20:00,4.74,81.2
02.01.2015 14:30:00,4.81,81.1
02.01.2015 14:40:00,4.93,80.3
02.01.2015 14:50:00,4.94,79.6
02.01.2015 15:00:00,4.97,79.7
02.01.2015 15:10:00,4.98,79.6
02.01.2015 15:20:00,4.93,80
02.01.2015 15:30:00,4.88,80.1
02.01.2015 15:40:00,4.78,80.3
02.01.2015 15:50:00,4.66,80.6
02.01.2015 16:00:00,4.45,81
02.01.2015 16:10:00,4.24,81.4
02.01.2015 16:20:00,3.93,82.3
02.01.2015 16:30:00,3.69,83.4
02.01.2015 16:40:00,3.7,83.4
02.01.2015 16:50:00,3.78,83
02.01.2015 17:00:00,3.93,82.1
02.01.2015 17:10:00,3.98,81.6
02.01.2015 17:20:00,3.94,81.5
02.01.2015 17:30:00,3.92,81.4
02.01.2015 17:40:00,3.95,81.2
02.01.2015 17:50:00,4.02,81
02.01.2015 18:00:00,3.96,80.9
02.01.2015 18:10:00,3.87,81.3
02.01.2015 18:20:00,3.82,81.5
02.01.2015 18:30:00,3.85,81.3
02.01.2015 18:40:00,3.79,81.2
02.01.2015 18:50:00,3.7,81.2
02.01.2015 19:00:00,3.69,81
02.01.2015 19:10:00,3.73,80.7
02.01.2015 19:20:00,3.78,80.3
02.01.2015 19:30:00,3.84,79.5
02.01.2015 19:40:00,3.81,78.9
02.01.2015 19:50:00,3.73,79.1
02.01.2015 20:00:00,3.67,79.3
02.01.2015 20:10:00,3.79,78.5
02.01.2015 20:20:00,3.8,78
02.01.2015 20:30:00,3.87,77.2
02.01.2015 20:40:00,3.94,76.1
02.01.2015 20:50:00,3.87,75.6
02.01.2015 21:00:00,3.85,75
02.01.2015 21:10:00,3.87,74.7
02.01.2015 21:20:00,3.99,73.8
02.01.2015 21:30:00,4.15,72.4
02.01.2015 21:40:00,4.11,71.9
02.01.2015 21:50:00,4.07,72.2
02.01.2015 22:00:00,4.07,72.1
02.01.2015 22:10:00,4.02,72.4
02.01.2015 22:20:00,4,72.9
02.01.2015 22:30:00,3.92,74
02.01.2015 22:40:00,3.85,74.9
02.01.2015 22:50:00,3.79,74.8
02.01.2015 23:00:00,3.73,74.7
02.01.2015 23:10:00,3.68,74.7
02.01.2015 23:20:00,3.56,74.9
02.01.2015 23:30:00,3.59,74.8
02.01.2015 23:40:00,3.64,74.6
02.01.2015 23:50:00,3.7,74.1
03.01.2015 00:00:00,3.73,73.8
03.01.2015 00:10:00,3.68,73.8
03.01.2015 00:20:00,3.69,73.3
03.01.2015 00:30:00,3.73,72.6
03.01.2015 00:40:00,3.73,72.2
03.01.2015 00:50:00,3.73,71.8
03.01.2015 01:00:00,3.73,71.3
03.01.2015 01:10:00,3.73,70.9
03.01.2015 01:20:00,3.71,71
03.01.2015 01:30:00,3.67,71.4
03.01.2015 01:40:00,3.66,71.6
03.01.2015 01:50:00,3.68,71.5
03.01.2015 02:00:00,3.72,71.5
03.01.2015 02:10:00,3.76,71.2
03.01.2015 02:20:00,3.82,70.6
03.01.2015 02:30:00,3.86,70.4
03.01.2015 02:40:00,3.93,69.81
03.01.2015 02:50:00,3.92,69.51
03.01.2015 03:00:00,3.88,69.43
03.01.2015 03:10:00,3.9,69.23
03.01.2015 03:20:00,3.85,69.63
03.01.2015 03:30:00,3.82,70
03.01.2015 03:40:00,3.72,70.6
03.01.2015 03:50:00,3.6,71.4
03.01.2015 04:00:00,3.53,71.5
03.01.2015 04:10:00,3.41,72
03.01.2015 04:20:00,3.32,72.3
03.01.2015 04:30:00,3.26,72.6
03.01.2015 04:40:00,3.21,72.7
03.01.2015 04:50:00,3.19,73
03.01.2015 05:00:00,3.1,73.4
03.01.2015 05:10:00,2.99,74
03.01.2015 05:20:00,2.93,74.2
03.01.2015 05:30:00,2.91,74.2
03.01.2015 05:40:00,2.92,74
03.01.2015 05:50:00,2.84,74.1
03.01.2015 06:00:00,2.64,75
03.01.2015 06:10:00,2.53,75.3
03.01.2015 06:20:00,2.51,75.4
03.01.2015 06:30:00,2.53,75.1
03.01.2015 06:40:00,2.55,74.8
03.01.2015 06:50:00,2.64,74
03.01.2015 07:00:00,2.76,73.4
03.01.2015 07:10:00,2.65,74
03.01.2015 07:20:00,2.4,75
03.01.2015 07:30:00,2.42,74.6
03.01.2015 07:40:00,2.47,73.9
03.01.2015 07:50:00,2.39,74.1
03.01.2015 08:00:00,2.4,73.8
03.01.2015 08:10:00,2.34,74.2
03.01.2015 08:20:00,2.21,74.8
03.01.2015 08:30:00,2.23,74.6
03.01.2015 08:40:00,2.45,73.2
03.01.2015 08:50:00,2.54,72.9
03.01.2015 09:00:00,2.62,72.6
03.01.2015 09:10:00,2.6,72.8
03.01.2015 09:20:00,2.6,73
03.01.2015 09:30:00,2.57,73.4
03.01.2015 09:40:00,2.53,74.2
03.01.2015 09:50:00,2.62,74.5
03.01.2015 10:00:00,2.68,74.5
03.01.2015 10:10:00,2.73,74.6
03.01.2015 10:20:00,2.73,74.7
03.01.2015 10:30:00,2.8,74.6
03.01.2015 10:40:00,2.89,74.4
03.01.2015 10:50:00,2.93,73.9
03.01.2015 11:00:00,2.87,74
03.01.2015 11:10:00,2.87,74.4
03.01.2015 11:20:00,2.89,74.6
03.01.2015 11:30:00,2.93,74.5
03.01.2015 11:40:00,2.94,74.6
03.01.2015 11:50:00,3,74.7
03.01.2015 12:00:00,3.06,74.5
03.01.2015 12:10:00,3.03,75.1
03.01.2015 12:20:00,3,75.5
03.01.2015 12:30:00,3,75.6
03.01.2015 12:40:00,3,75.5
03.01.2015 12:50:00,3,75.5
03.01.2015 13:00:00,3.02,75.6
03.01.2015 13:10:00,3,75.8
03.01.2015 13:20:00,3.07,75.3
03.01.2015 13:30:00,3.07,75.4
03.01.2015 13:40:00,3.07,75.6
03.01.2015 13:50:00,2.99,75.8
03.01.2015 14:00:00,2.66,79.6
03.01.2015 14:10:00,2.43,82.4
03.01.2015 14:20:00,2.3,83.3
03.01.2015 14:30:00,2.16,84.1
03.01.2015 14:40:00,2.07,84.3
03.01.2015 14:50:00,2.07,84.7
03.01.2015 15:00:00,2.02,85.1
03.01.2015 15:10:00,1.93,85.8
03.01.2015 15:20:00,1.87,86.6
03.01.2015 15:30:00,1.8,87
03.01.2015 15:40:00,1.8,87.4
03.01.2015 15:50:00,1.83,87.1
03.01.2015 16:00:00,1.87,86.7
03.01.2015 16:10:00,1.87,86.8
03.01.2015 16:20:00,1.87,86.5
03.01.2015 16:30:00,1.88,86.2
03.01.2015 16:40:00,1.84,86.5
03.01.2015 16:50:00,1.79,86.3
03.01.2015 17:00:00,1.75,85.9
03.01.2015 17:10:00,1.85,84.1
03.01.2015 17:20:00,1.86,83.7
03.01.2015 17:30:00,1.87,82.9
03.01.2015 17:40:00,1.79,83.5
03.01.2015 17:50:00,1.62,84.6
03.01.2015 18:00:00,1.66,84.8
03.01.2015 18:10:00,1.88,83.5
03.01.2015 18:20:00,2.01,82.2
03.01.2015 18:30:00,1.97,82.9
03.01.2015 18:40:00,1.87,83.9
03.01.2015 18:50:00,1.77,84.1
03.01.2015 19:00:00,1.73,84.4
03.01.2015 19:10:00,1.71,85.1
03.01.2015 19:20:00,1.62,85.4
03.01.2015 19:30:00,1.65,85.3
03.01.2015 19:40:00,1.77,84.7
03.01.2015 19:50:00,1.78,84.7
03.01.2015 20:00:00,1.81,84.7
03.01.2015 20:10:00,1.92,84.8
03.01.2015 20:20:00,1.61,86.5
03.01.2015 20:30:00,1.15,89.4
03.01.2015 20:40:00,0.98,91.6
03.01.2015 20:50:00,0.99,92.4
03.01.2015 21:00:00,1.01,93
03.01.2015 21:10:00,1.09,92.9
03.01.2015 21:20:00,0.97,93.1
03.01.2015 21:30:00,0.89,93.5
03.01.2015 21:40:00,0.87,94
03.01.2015 21:50:00,1,94.3
03.01.2015 22:00:00,1.12,93.9
03.01.2015 22:10:00,1.2,93.2
03.01.2015 22:20:00,1.31,92.5
03.01.2015 22:30:00,1.33,91.9
03.01.2015 22:40:00,1.35,91.7
03.01.2015 22:50:00,1.42,91.3
03.01.2015 23:00:00,1.46,91
03.01.2015 23:10:00,1.52,90.8
03.01.2015 23:20:00,1.54,90.7
03.01.2015 23:30:00,1.57,90.8
03.01.2015 23:40:00,1.63,90.6
03.01.2015 23:50:00,1.65,90.6
04.01.2015 00:00:00,1.66,90.6
04.01.2015 00:10:00,1.68,90.4
04.01.2015 00:20:00,1.73,90.2
04.01.2015 00:30:00,1.67,90.4
04.01.2015 00:40:00,1.65,90.5
04.01.2015 00:50:00,1.6,90.6
04.01.2015 01:00:00,1.6,90.8
04.01.2015 01:10:00,1.67,90.7
04.01.2015 01:20:00,1.75,90.2
04.01.2015 01:30:00,1.85,89.9
04.01.2015 01:40:00,1.9,89.7
04.01.2015 01:50:00,1.95,89.5
04.01.2015 02:00:00,2.05,89.6
04.01.2015 02:10:00,2.01,90.1
04.01.2015 02:20:00,2.01,89.2
04.01.2015 02:30:00,1.98,88.6
04.01.2015 02:40:00,1.99,88.7
04.01.2015 02:50:00,2.1,88.1
04.01.2015 03:00:00,2.15,87.7
04.01.2015 03:10:00,2.19,87.2
04.01.2015 03:20:00,2.13,86.8
04.01.2015 03:30:00,2.16,86.2
04.01.2015 03:40:00,2.2,85.2
04.01.2015 03:50:00,2.18,84.3
04.01.2015 04:00:00,2.05,84.2
04.01.2015 04:10:00,1.95,84.2
04.01.2015 04:20:00,2.05,83.8
04.01.2015 04:30:00,2.14,83.4
04.01.2015 04:40:00,2.22,83.1
04.01.2015 04:50:00,2.27,82.7
04.01.2015 05:00:00,2.26,82.7
04.01.2015 05:10:00,2.25,82.6
04.01.2015 05:20:00,2.26,82.6
04.01.2015 05:30:00,2.34,82.2
04.01.2015 05:40:00,2.4,81.9
04.01.2015 05:50:00,2.5,81.1
04.01.2015 06:00:00,2.53,81.3
04.01.2015 06:10:00,2.53,81.5
04.01.2015 06:20:00,2.5,82
04.01.2015 06:30:00,2.42,83.1
04.01.2015 06:40:00,2.34,83.9
04.01.2015 06:50:00,2.4,83.4
04.01.2015 07:00:00,2.43,83
04.01.2015 07:10:00,2.43,82.6
04.01.2015 07:20:00,2.51,82.1
04.01.2015 07:30:00,2.53,81.9
04.01.2015 07:40:00,2.45,82.7
04.01.2015 07:50:00,2.4,82.8
04.01.2015 08:00:00,2.5,81.8
04.01.2015 08:10:00,2.63,81.2
04.01.2015 08:20:00,2.67,81.3
04.01.2015 08:30:00,2.72,81
04.01.2015 08:40:00,2.68,81
04.01.2015 08:50:00,2.6,81
04.01.2015 09:00:00,2.59,81.5
04.01.2015 09:10:00,2.61,82
04.01.2015 09:20:00,2.73,81.7
04.01.2015 09:30:00,2.85,80.8
04.01.2015 09:40:00,2.88,80.1
04.01.2015 09:50:00,2.98,79.8
04.01.2015 10:00:00,3.06,80.1
04.01.2015 10:10:00,3.03,80.6
04.01.2015 10:20:00,3.26,80
04.01.2015 10:30:00,3.15,80.5
04.01.2015 10:40:00,3.12,81.3
04.01.2015 10:50:00,3.26,80.8
04.01.2015 11:00:00,3.28,81.3
04.01.2015 11:10:00,3.65,81.1
04.01.2015 11:20:00,3.76,80.1
04.01.2015 11:30:00,3.49,80.8
04.01.2015 11:40:00,3.52,81.9
04.01.2015 11:50:00,3.65,80.7
04.01.2015 12:00:00,3.51,81.2
04.01.2015 12:10:00,3.78,81.2
04.01.2015 12:20:00,3.68,80.2
04.01.2015 12:30:00,3.85,80.1
04.01.2015 12:40:00,4.08,78.1
04.01.2015 12:50:00,3.76,79.5
04.01.2015 13:00:00,3.64,80.1
04.01.2015 13:10:00,3.63,79.8
04.01.2015 13:20:00,3.8,79.2
04.01.2015 13:30:00,3.71,79.9
04.01.2015 13:40:00,3.67,79.7
04.01.2015 13:50:00,3.71,80
04.01.2015 14:00:00,3.81,79.5
04.01.2015 14:10:00,3.68,79.8
04.01.2015 14:20:00,3.03,85.3
04.01.2015 14:30:00,2.94,86.5
04.01.2015 14:40:00,2.48,88.2
04.01.2015 14:50:00,1.91,90.4
04.01.2015 15:00:00,1.85,91.3
04.01.2015 15:10:00,2.05,91.4
04.01.2015 15:20:00,2.44,90.5
04.01.2015 15:30:00,2.56,89
04.01.2015 15:40:00,2.38,88.5
04.01.2015 15:50:00,2.23,88.6
04.01.2015 16:00:00,2.1,89.1
04.01.2015 16:10:00,2.01,90
04.01.2015 16:20:00,2.12,90.1
04.01.2015 16:30:00,2.21,90
04.01.2015 16:40:00,2.31,89
04.01.2015 16:50:00,2.36,88.2
04.01.2015 17:00:00,2.44,87.7
04.01.2015 17:10:00,2.47,86.9
04.01.2015 17:20:00,2.48,86.5
04.01.2015 17:30:00,2.58,85.7
04.01.2015 17:40:00,2.6,85.5
04.01.2015 17:50:00,2.6,85.4
04.01.2015 18:00:00,2.64,85.1
04.01.2015 18:10:00,2.72,84.1
04.01.2015 18:20:00,2.64,83.8
04.01.2015 18:30:00,2.54,83.6
04.01.2015 18:40:00,2.56,83.1
04.01.2015 18:50:00,2.66,82.2
04.01.2015 19:00:00,2.64,81.9
04.01.2015 19:10:00,2.58,82.2
04.01.2015 19:20:00,2.46,83.4
04.01.2015 19:30:00,2.4,83.6
04.01.2015 19:40:00,2.45,83.4
04.01.2015 19:50:00,2.48,82.7
04.01.2015 20:00:00,2.47,82.3
04.01.2015 20:10:00,2.41,82.5
04.01.2015 20:20:00,2.33,82.8
04.01.2015 20:30:00,2.33,82.9
04.01.2015 20:40:00,2.35,82.8
04.01.2015 20:50:00,2.34,82.7
04.01.2015 21:00:00,2.31,83
04.01.2015 21:10:00,2.27,83.3
04.01.2015 21:20:00,2.26,83.6
04.01.2015 21:30:00,2.2,84.1
04.01.2015 21:40:00,2.21,84
04.01.2015 21:50:00,2.28,83.7
04.01.2015 22:00:00,2.43,83.2
04.01.2015 22:10:00,2.5,83.2
04.01.2015 22:20:00,2.51,83.6
04.01.2015 22:30:00,2.33,85.5
04.01.2015 22:40:00,2.37,86.1
04.01.2015 22:50:00,2.43,85.6
04.01.2015 23:00:00,2.47,84.9
04.01.2015 23:10:00,2.47,84.5
04.01.2015 23:20:00,2.48,84.1
04.01.2015 23:30:00,2.48,83.9
04.01.2015 23:40:00,2.52,83.8
04.01.2015 23:50:00,2.53,83.8
05.01.2015 00:00:00,2.53,83.6
05.01.2015 00:10:00,2.47,83.7
05.01.2015 00:20:00,2.42,84.2
05.01.2015 00:30:00,2.33,84.9
05.01.2015 00:40:00,2.3,85.4
05.01.2015 00:50:00,2.33,85.6
05.01.2015 01:00:00,2.37,85.7
05.01.2015 01:10:00,2.29,86.7
05.01.2015 01:20:00,2.04,88.6
05.01.2015 01:30:00,2.02,89.3
05.01.2015 01:40:00,2.1,88.7
05.01.2015 01:50:00,2.22,88
05.01.2015 02:00:00,2.27,87.6
05.01.2015 02:10:00,2.28,87.4
05.01.2015 02:20:00,2.37,86.8
05.01.2015 02:30:00,2.42,86.2
05.01.2015 02:40:00,2.47,85.5
05.01.2015 02:50:00,2.5,84.8
05.01.2015 03:00:00,2.53,84.4
05.01.2015 03:10:00,2.57,84
05.01.2015 03:20:00,2.61,83.3
05.01.2015 03:30:00,2.69,82.2
05.01.2015 03:40:00,2.74,80.9
05.01.2015 03:50:00,2.79,80.1
05.01.2015 04:00:00,2.74,80.3
05.01.2015 04:10:00,2.74,80.5
05.01.2015 04:20:00,2.73,80.2
05.01.2015 04:30:00,2.78,79.4
05.01.2015 04:40:00,2.81,77.6
05.01.2015 04:50:00,2.73,77.3
05.01.2015 05:00:00,2.68,77.6
05.01.2015 05:10:00,2.56,79
05.01.2015 05:20:00,2.49,80.3
05.01.2015 05:30:00,2.52,79.6
05.01.2015 05:40:00,2.48,79.4
05.01.2015 05:50:00,2.52,78.7
05.01.2015 06:00:00,2.52,78.5
05.01.2015 06:10:00,2.59,77.8
05.01.2015 06:20:00,2.66,76.9
05.01.2015 06:30:00,2.67,76.5
05.01.2015 06:40:00,2.73,75.6
05.01.2015 06:50:00,2.73,75.4
05.01.2015 07:00:00,2.69,75.4
05.01.2015 07:10:00,2.62,75.9
05.01.2015 07:20:00,2.58,76.3
05.01.2015 07:30:00,2.49,76.7
05.01.2015 07:40:00,2.47,76.4
05.01.2015 07:50:00,2.4,75.9
05.01.2015 08:00:00,2.34,75.6
05.01.2015 08:10:00,2.28,75.2
05.01.2015 08:20:00,2.27,74.3
05.01.2015 08:30:00,2.24,73.7
05.01.2015 08:40:00,2.22,72.8
05.01.2015 08:50:00,2.22,72.4
05.01.2015 09:00:00,2.19,72.3
05.01.2015 09:10:00,2.27,70.8
05.01.2015 09:20:00,2.32,70.2
05.01.2015 09:30:00,2.33,69.34
05.01.2015 09:40:00,2.45,69
05.01.2015 09:50:00,2.53,67.36
05.01.2015 10:00:00,2.56,66.35
05.01.2015 10:10:00,2.6,65.46
05.01.2015 10:20:00,2.69,64.98
05.01.2015 10:30:00,2.8,63.99
05.01.2015 10:40:00,2.9,63.55
05.01.2015 10:50:00,3.05,63.75
05.01.2015 11:00:00,3.09,64.06
05.01.2015 11:10:00,2.82,65.35
05.01.2015 11:20:00,2.6,67.23
05.01.2015 11:30:00,2.54,68.39
05.01.2015 11:40:00,2.68,69.21
05.01.2015 11:50:00,2.9,69.57
05.01.2015 12:00:00,2.78,70.9
05.01.2015 12:10:00,2.74,71.6
05.01.2015 12:20:00,3.08,71.3
05.01.2015 12:30:00,3.17,68.97
05.01.2015 12:40:00,2.88,70.4
05.01.2015 12:50:00,2.84,71.1
05.01.2015 13:00:00,2.58,70.8
05.01.2015 13:10:00,2.34,71.6
05.01.2015 13:20:00,2.28,72.3
05.01.2015 13:30:00,2.43,72.2
05.01.2015 13:40:00,2.36,72.5
05.01.2015 13:50:00,2.21,73.5
05.01.2015 14:00:00,2.25,74
05.01.2015 14:10:00,2.13,74.7
05.01.2015 14:20:00,2.11,75.2
05.01.2015 14:30:00,2.14,74.8
05.01.2015 14:40:00,2.09,75.4
05.01.2015 14:50:00,2.06,75.8
05.01.2015 15:00:00,2.11,76
05.01.2015 15:10:00,2.05,76.3
05.01.2015 15:20:00,2,76
05.01.2015 15:30:00,2.08,76
05.01.2015 15:40:00,2.07,75.9
05.01.2015 15:50:00,1.96,76.2
05.01.2015 16:00:00,1.86,76.6
